gene,expression/KWT_root_A.txt,expression/KWT_root_B.txt,expression/KWT_root_C.txt,expression/KWT_tip_leaf_A.txt,expression/KWT_tip_leaf_B.txt,expression/KWT_tip_leaf_C.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
KWT3-02034,0,0.161,0.272,0.315,0.329,0.144,0.144333333,0.262666667,0.2035,,0.111667164,0.078960609,0.084104432,0.059470815
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
"KWT3-10136,KWT3-10141",1.585,3.01,8.66,0,0,0,4.418333333,0,2.209166667,,3.055209576,2.160359409,0,0
KWT3-37482,57.3,58.6,320,103,69.6,104,145.3,92.2,118.75,,123.5326947,87.35080614,15.98582706,11.30368671
KWT3-38789,141,72.8,26,4.45,6.85,14.5,79.93333333,8.6,44.26666667,Cenchrinae,47.21873451,33.38868737,4.285440467,3.030264015
"KWT3-18528,KWT3-42432",52.35,66.2,44.85,28.9,21.85,21.05,54.46666667,23.93333333,39.2,,8.843673194,6.253421286,3.527117173,2.494048471
"KWT3-18233,KWT3-41480",23.25,30.15,18.95,21.55,15.3,14.65,24.11666667,17.16666667,20.64166667,,4.613265895,3.262071598,3.110823399,2.199684321
NA,,,,,,,,,,,,,,
"KWT3-17088,KWT3-14488",39.1,33.5,46.35,13.175,16.15,24.5,39.65,17.94166667,28.79583333,,5.260386551,3.719655002,4.79384733,3.389761955
KWT3-24195,0.112,0.0821,0.069,8.81,7.2,8.2,0.0877,8.07,4.07885,,0.01799574,0.01272491,0.663676628,0.469290244
"KWT3-02214,KWT3-44408",4.32,4.0815,3.775,6.8,4.555,5.315,4.058833333,5.556666667,4.80775,Cenchrinae,0.223071862,0.157735626,0.932311941,0.659244096
KWT3-05670,1.29,6.2,3.86,3.95,2.74,3.14,3.783333333,3.276666667,3.53,Cenchrinae,2.005232045,1.417913177,0.503344371,0.355918218
KWT3-37174,0.258,0,0.636,0,0,0,0.298,0,0.149,Cenchrinae,0.261181929,0.184683513,0,0
"KWT3-07235,KWT3-02782,KWT3-07236,KWT3-43921",27.9825,29.40825,27.0245,31.685,35.115,30.51,28.13841667,32.43666667,30.28754167,Cenchrinae,0.97938706,0.692531232,1.953673179,1.381455553
NA,NA,NA,NA,NA,NA,NA,,,,Danthonioideae, , , , 
"KWT3-13276,KWT3-33224",0,0,0,0,0,0,0,0,0,,0,0,0,0
NA,NA,NA,NA,NA,NA,NA, , , ,, , , , 
NA,,,,,,,,,,NA,,,,
"KWT3-06696,KWT3-32289,KWT3-46651",7.565333333,10.23333333,5.552,1.64,1.716333333,1.264,7.783555554,1.540111111,4.661833333,,1.917365578,1.355782202,0.197711412,0.13980308
"KWT3-05350,KWT3-22316,KWT3-01030",10.56666667,5.796666667,3.888666667,4.586666667,2.593333333,3.983333333,6.750666668,3.721111111,5.23588889,,2.808499957,1.985909364,0.834631582,0.590173651
"KWT3-12787,KWT3-01031,KWT3-01024,KWT3-01027",32.79875,8.7945,1.841,8.45,0.88,5.4465,14.47808333,4.9255,9.701791667,,13.26204888,9.377684698,3.112320222,2.200742734
"KWT3-15165,KWT3-25885",3.865,1.21,1.07,0,0.1065,0.0745,2.048333333,0.060333333,1.054333333,,1.285848185,0.909231971,0.04461751,0.031549344
KWT3-38894,1.79,1.88,3.64,2.2,3.45,1.85,2.436666667,2.5,2.468333333,,0.851678082,0.602227347,0.686779926,0.485626743
KWT3-33253,0.376,0.551,0.278,1.08,0.225,0.197,0.401666667,0.500666667,0.451166667,,0.112919834,0.07984638,0.409809983,0.289779418
KWT3-01786,20.7,29.6,18.6,76.6,89.7,119,22.96666667,95.1,59.03333333,,4.768181577,3.371613527,17.72587562,12.53408686
KWT3-36041,16.6,15.9,22.8,10.7,14.9,13.1,18.43333333,12.9,15.66666667,,3.100895928,2.192664538,1.720465053,1.216552506
KWT3-14027,27.8,29.9,33.5,36.8,31.7,36.9,30.4,35.13333333,32.76666667,,2.353720459,1.664331698,2.428076514,1.716909368
"KWT3-34544,KWT3-34541,KWT3-29819",235.0666667,241.1376667,191.1333333,13.73666667,14.06666667,23.86666667,222.4458889,17.22333334,119.8346111,,22.27960748,15.75406153,4.699477512,3.323032417
KWT3-34543,22.5,36.8,20.3,19.7,22.4,24.7,26.53333333,22.26666667,24.4,,7.314977026,5.172469859,2.043417617,1.444914453
"KWT3-29819,KWT3-07464,KWT3-20963,KWT3-34540,KWT3-07467,KWT3-29824,KWT3-34546",136.2157143,122.5002857,90.10142857,3.214285714,3.131428571,4.764285714,116.2724762,3.703333333,59.98790476,,19.33427088,13.67139405,0.750968838,0.531015158
"KWT3-36978,KWT3-32014,KWT3-32971",0.4231,1.039333333,1.707,0.061333333,0.032,0,1.056477778,0.031111111,0.543794444,,0.524290156,0.370729125,0.025047116,0.017710986
"KWT3-32971,KWT3-46980,KWT3-32014,KWT3-32015,KWT3-36036",0.01386,0.156,1.208,0.0368,0.0192,0,0.459286667,0.018666667,0.238976667,,0.532590954,0.376598675,0.01502827,0.010626591
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
"KWT3-13414,KWT3-13416,KWT3-13415,KWT3-46431",0.398,7.4525,12.2725,0,0,0,6.707666667,0,3.353833333,,4.876270438,3.448043894,0,0
"KWT3-36806,KWT3-13415,KWT3-46431,KWT3-13416",1.04125,4.6575,8.4475,0,0,0,4.715416667,0,2.357708333,,3.023866236,2.138196321,0,0
KWT3-13419,0.339,0,0.835,0,0,0,0.391333333,0,0.195666667,,0.342890005,0.242459848,0,0
KWT3-13421,11.9,11.5,14.8,8.16,12,10.9,12.73333333,10.35333333,11.54333333,,1.470449667,1.039764931,1.61462758,1.141714111
KWT3-13422,60.4,74,48.3,40.3,79.3,32.4,60.9,50.66666667,55.78333333,,10.49793631,7.42316195,20.50208661,14.49716447
KWT3-13424,10.9,10.2,9.8,16.3,8.06,11.8,10.3,12.05333333,11.17666667,,0.454606057,0.321455025,3.36873204,2.382053269
KWT3-13425,0,0,0,65.7,46.8,32.9,0,48.46666667,24.23333333,,0,0,13.4423047,9.505144806
KWT3-21099,1.76,1.07,2.11,0.52,0.311,0.204,1.646666667,0.345,0.995833333,,0.432075096,0.305523231,0.131227538,0.092791882
"KWT3-29490,KWT3-15761",0,0.164,0,0.32,0.1665,1.175,0.054666667,0.553833333,0.30425,,0.077310341,0.054666667,0.443679001,0.31372843
NA,NA,NA,NA,NA,NA,NA,,,,Cenchrinae, , , , 
"KWT3-16182,KWT3-32908",1.555,2.535,6.7,0.9525,0.8805,0.502,3.596666667,0.778333333,2.1875,Cenchrinae,2.230561713,1.577245313,0.197595687,0.13972125
KWT3-33083,12.5,22.2,4.73,0,0.571,0.252,13.14333333,0.274333333,6.708833333,,7.146590485,5.053402594,0.233644079,0.165211312
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,,,,,,,,,,,,,,
"KWT3-41242,KWT3-24558",7.39,9.63,5.635,5.39,4.765,4.46,7.551666667,4.871666667,6.211666667,Cenchrinae,1.634953278,1.15608655,0.387090285,0.273714166
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
"KWT3-37130,KWT3-28385,KWT3-37128",13.77666667,21.83,12.56833333,11.19666667,11.65733333,7.283,16.05833333,10.04566667,13.052,,4.110889559,2.906837884,1.96253217,1.387719806
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
KWT3-40548,96.7,59.4,79.4,59.6,89.2,83.7,78.5,77.5,78,,15.2409536,10.77698164,12.85483048,9.089737803
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
KWT3-30111,0,0,0.162,0,0,0,0.054,0,0.027,,0.076367532,0.054,0,0
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
"KWT3-26058,KWT3-41090,KWT3-46426,KWT3-27795",61.425,106.1,66.3,87.575,135,58.675,77.94166667,93.75,85.84583333,,20.01016755,14.14932517,31.46399397,22.2484035
KWT3-15958,0,0,0,0,0,0,0,0,0,,0,0,0,0
