gene,expression/ZAM_root_1.txt,expression/ZAM_root_2.txt,expression/ZAM_root_3.txt,expression/ZAM_tip_leaf_1.txt,expression/ZAM_tip_leaf_2.txt,expression/ZAM_tip_leaf_3.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-19783,ZAM150510-65050",3.835,7.545,0.765,0.176,0.142,0.0795,4.048333333,0.1325,2.090416667,Cenchrinae,2.772030944,1.960121878,0.039964568,0.028259217
NA, , , , , , ,,,,Andropogoneae, , , , 
ZAM150510-04760,11.5,11.1,7.17,14.8,9.8,17.7,9.923333333,14.1,12.01166667,Cenchrinae,1.95373716,1.381500794,3.262923025,2.307234997
ZAM150510-48999,45.5,40.3,41.7,38.3,67.9,51.9,42.5,52.7,47.6,Cenchrinae,2.196967607,1.553490693,12.09738264,8.554141297
ZAM150510-03410,52,34,59.4,53.7,73.1,25.7,48.46666667,50.83333333,49.65,,10.66624999,7.542177699,19.45684684,13.75806834
"ZAM150510-07963,ZAM150510-65763",33.5,49.75,41.6,25.1,18.65,14.1,41.61666667,19.28333333,30.45,,6.634045188,4.690978339,4.513005897,3.191177073
ZAM150510-08735,15.7,15,3.26,10.1,5.76,14.8,11.32,10.22,10.77,,5.706440805,4.03506299,3.691539877,2.61031288
NA, , , , , , ,,,,, , , , 
"ZAM150510-47650,ZAM150510-54269,ZAM150510-64264,ZAM150510-63893,ZAM150510-29548",23.026,20.26,15.63,15.1042,9.418,13.4416,19.63866667,12.6546,16.14663333,,3.051201439,2.157525228,2.387152329,1.687971599
"ZAM150510-59515,ZAM150510-46683",29.6,26.6,29.35,31.2,30.85,23.35,28.51666667,28.46666667,28.49166667,Melinidinae,1.359125536,0.961046883,3.620850115,2.56032767
ZAM150510-22591,19.9,13.7,6.52,6.89,4.67,7.89,13.37333333,6.483333333,9.928333333,NA,5.467243872,3.865925216,1.345643175,0.951513414
ZAM150510-14199,0.258,0.346,0,0.152,0.125,0.406,0.201333333,0.227666667,0.2145,Cenchrinae,0.146827185,0.103822498,0.12658155,0.089506673
"ZAM150510-34507,ZAM150510-43308,ZAM150510-64572,ZAM150510-65292",0.063,0,0,6.86,1.9475,3.785,0.021,4.1975,2.10925,Andropogoneae,0.029698485,0.021,2.026619723,1.433036549
ZAM150510-34730,9.56,25.9,7.61,17.3,15.6,26.3,14.35666667,19.73333333,17.045,Cenchrinae,8.201098842,5.799052605,4.694914506,3.319805885
ZAM150510-37704,1.47,0.33,1.29,0,0,0,1.03,0,0.515,Cenchrinae,0.50039984,0.35383612,0,0
ZAM150510-06903,0,0.268,0,0,0,0,0.089333333,0,0.044666667,Cenchrinae,0.126336412,0.089333333,0,0
ZAM150510-06901,21.2,26.4,8.99,23.9,24.3,25.1,18.86333333,24.43333333,21.64833333,Cenchrinae,7.297124243,5.159846036,0.498887652,0.352766841
NA, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-49853,ZAM150510-67098",120.4,72.7,38.5,7.57,6.865,17.55,77.2,10.66166667,43.93083333,Cenchrinae,33.58660447,23.74931578,4.879283303,3.450174311
