probe,time_of_day,warm_cold,treatment,species,species_treatment,timepoint,FW,VNaOH,FA,average_FA,replicate,,
STU2III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,54.8,125,79.83576642,,2,,
STU2III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,54.8,135,86.22262774,,2,,
STU2III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,54.8,135,86.22262774,,2,,
STU2III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.5,55,36.66666667,,2,,
STU2III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.5,59,39.33333333,,2,,
STU2III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.5,56,37.33333333,,2,,
STU3III ,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,55.1,140,88.9292196,,3,,
STU3III ,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,55.1,144,91.47005445,,3,,
STU3III ,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,55.1,142,90.19963702,,3,,
STU3III ,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.8,64,42.42424242,,3,,
STU3III ,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.8,62,41.09848485,,3,,
STU3III ,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,52.8,58,38.4469697,,3,,
STU4III ,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.7,188,116.0493827,,4,,
STU4III ,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.7,188,116.0493827,,4,,
STU4III ,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.7,194,119.7530864,,4,,
STU4III ,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,54.4,46,29.59558824,,4,,
STU4III ,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,54.4,48,30.88235294,,4,,
STU4III ,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,54.4,52,33.45588235,,4,,
STU5III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.2,124,80.07380074,,5,,
STU5III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.2,128,82.65682657,,5,,
STU5III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.2,124,80.07380074,,5,,
STU5III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.9,40,25.50091075,,5,,
STU5III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.9,39,24.86338798,,5,,
STU5III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,54.9,41,26.13843352,,5,,
STU6III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,53.5,152,99.43925234,,6,,
STU6III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,53.5,152,99.43925234,,6,,
STU6III,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,53.5,155,101.4018692,,6,,
STU6III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,51.8,46,31.08108108,,6,,
STU6III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,51.8,46,31.08108108,,6,,
STU6III,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),3,51.8,50,33.78378378,,6,,
STU8III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,51.6,100,67.82945736,,8,,
STU8III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,51.6,110,74.6124031,,8,,
STU8III,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,51.6,113,76.64728682,,8,,
STU8III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,53.8,58,37.73234201,,8,,
STU8III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,53.8,58,37.73234201,,8,,
STU8III,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),3,53.8,60,39.03345725,,8,,
STU9III,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.8,116,71.47887324,,9,,
STU9III,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.8,128,78.87323944,,9,,
STU9III,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,56.8,127,78.25704225,,9,,
STU9III,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,52,42,28.26923077,,9,,
STU9III,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,52,43,28.94230769,,9,,
STU9III,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),3,52,42,28.26923077,,9,,
,morning,cold,drought,A. canariense ssp. canariense,A. canariense ssp. canariense (cold-drought),1,61.5,,,42.11382116,1,,
,evening,cold,drought,A. canariense ssp. canariense,A. canariense ssp. canariense (cold-drought),1,62.1,,,34.19216318,1,,
,morning,cold,drought,A. canariense ssp. canariense,A. canariense ssp. canariense (cold-drought),2,61.8,,,40.399137,1,,
,evening,cold,drought,A. canariense ssp. canariense,A. canariense ssp. canariense (cold-drought),2,61.8,,,34.54692557,1,,
,morning,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),1,61.3,,,86.02501359,2,,
,evening,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),1,61.5,,,38.13008129,2,,
,morning,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),2,61.1,,,64.34806329,2,,
,evening,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),2,61.6,,,37.49999999,2,,
,morning,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),1,56.1,,,57.60546642,1,,
,evening,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),1,56.8,,,32.24765258,1,,
,morning,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),2,61.4,,,74.67426712,1,,
,evening,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),2,62,,,33.30645161,1,,
,morning,warm,cold,A. canariense ssp. christii,A. canariense ssp. christii (warm-cold),1,61.6,,,65.53030302,3,,
,evening,warm,cold,A. canariense ssp. christii,A. canariense ssp. christii (warm-cold),1,61.3,,,27.9771615,3,,
,morning,warm,cold,A. canariense ssp. christii,A. canariense ssp. christii (warm-cold),2,61.7,,,65.04592112,3,,
,evening,warm,cold,A. canariense ssp. christii,A. canariense ssp. christii (warm-cold),2,61.2,,,36.9825708,3,,
,morning,cold,control,A. cuneatum,A. cuneatum (cold-control),1,61.9,,,47.11900914,1,,
,evening,cold,control,A. cuneatum,A. cuneatum (cold-control),1,61.4,,,26.60152009,1,,
,morning,cold,control,A. cuneatum,A. cuneatum (cold-control),2,62.4,,,61.88568376,1,,
,evening,cold,control,A. cuneatum,A. cuneatum (cold-control),2,61.4,,,21.09120521,1,,
,morning,cold,control,A. davidbramwellii,A. davidbramwellii (cold-control),1,52.5,,,106,2,,
,evening,cold,control,A. davidbramwellii,A. davidbramwellii (cold-control),1,52.5,,,37.1111111,2,,
,morning,cold,control,A. davidbramwellii,A. davidbramwellii (cold-control),2,61.1,,,81.3420622,2,,
,evening,cold,control,A. davidbramwellii,A. davidbramwellii (cold-control),2,61.2,,,28.78540305,2,,
,morning,cold,drought,A. davidbramwellii,A. davidbramwellii (cold-drought),1,61.1,,,109.9836334,4,,
,evening,cold,drought,A. davidbramwellii,A. davidbramwellii (cold-drought),1,61.9,,,49.19224555,4,,
,morning,cold,drought,A. davidbramwellii,A. davidbramwellii (cold-drought),2,62.1,,,99.19484701,4,,
,evening,cold,drought,A. davidbramwellii,A. davidbramwellii (cold-drought),2,62.7,,,34.05103668,4,,
,morning,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),1,54.8,,,108.7895377,3,,
,evening,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),1,55.1,,,19.69147005,3,,
,morning,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),2,61.5,,,91.81571816,3,,
,evening,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),2,61,,,43.22404373,3,,
,morning,warm,control,A. davidbramwellii,A. davidbramwellii (warm-control),1,61.4,,,146.1183496,1,,
,evening,warm,control,A. davidbramwellii,A. davidbramwellii (warm-control),1,61.9,,,35.62197093,1,,
,morning,warm,control,A. davidbramwellii,A. davidbramwellii (warm-control),2,61.1,,,147.9814512,1,,
,evening,warm,control,A. davidbramwellii,A. davidbramwellii (warm-control),2,61.2,,,61.95533768,1,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),1,60,,,64.94444446,2,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),1,62,,,92.20430107,5,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),1,59.7,,,26.96817421,2,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),1,61.8,,,34.73570658,5,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61.4,,,49.78284472,2,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,75.35519124,5,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,27.15846995,2,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,39.20765027,5,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,61.6,,,65.53030302,7,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,62.7,,,81.31313131,9,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,61.6,,,92.99242425,11,,
